pl_name,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
HD 86065 b,1,Radial Velocity,2022,25775.78859,13279.46721,-9595.00303,0,,,,,2877.30057,854.95841,-815.86552,0,0.219,0.156,-0.152,0,40.3661,0.0557,-0.0555
HD 86081 b,1,Radial Velocity,2006,2.1378431,0.0000031,-0.0000031,0,,,,,470.3884,73.1009,-73.1009,0,0.0119,0.0047,-0.0047,0,103.936,0.557,-0.551
HD 86081 b,1,Radial Velocity,2006,2.1375,0.0002,-0.0002,0,,,,,521.2412,28.6047,-28.6047,0,0.01,0,0,0,103.936,0.557,-0.551
HD 86081 b,1,Radial Velocity,2006,2.1375,0.0002,-0.0002,0,,,,,476.745,,,0,0.008,0.004,-0.004,0,103.936,0.557,-0.551
HD 86226 b,2,Radial Velocity,2009,1534,280,-280,0,,,,,476.725,317.817,-317.817,0,0.73,0.21,-0.21,0,45.683,0.1053,-0.1048
HD 86226 b,2,Radial Velocity,2009,1628,22,-21,0,,,,,143.0235,12.7132,-15.8915,0,0.059,0.062,-0.039,0,45.683,0.1053,-0.1048
HD 86226 b,2,Radial Velocity,2009,1695,58,-58,0,,,,,292.39,31.78,-31.78,0,0.15,0.09,-0.09,0,45.683,0.1053,-0.1048
HD 86264 b,1,Radial Velocity,2009,1480,44,-40,0,,,,,3909.28941,2351.93021,-1048.83374,0,0.77,0.15,-0.17,0,67.8107,0.2753,-0.2731
HD 86264 b,1,Radial Velocity,2009,1488.79123,58.01645,-46.45772,0,,,,,3117.26102,3741.79384,-608.95923,0,0.821,0.101,-0.185,0,67.8107,0.2753,-0.2731
HD 86264 b,1,Radial Velocity,2009,1475,55,-55,0,,,,,2224.81,508.528,-508.528,0,0.7,0.2,-0.2,0,67.8107,0.2753,-0.2731
HD 8673 b,1,Radial Velocity,2009,1644.69097,10.98617,-15.69616,0,,,,,4210.59074,536.49435,-450.04502,0,0.73,0.042,-0.026,0,37.8619,0.0543,-0.0541
